iter	Passed	Remaining
547	11410	9411
548	11429	9388
549	11454	9371
550	11475	9351
551	11496	9330
552	11515	9307
553	11534	9286
554	11556	9266
555	11576	9244
556	11595	9222
557	11614	9200
558	11634	9178
559	11653	9156
560	11671	9133
561	11689	9110
562	11708	9087
563	11727	9065
564	11745	9043
565	11766	9022
566	11785	9000
567	11806	8979
568	11827	8959
569	11848	8938
570	11868	8916
571	11890	8897
572	11910	8876
573	11932	8855
574	11953	8834
575	11974	8814
576	11997	8795
577	12019	8775
578	12041	8755
579	12063	8735
580	12084	8715
581	12106	8695
582	12126	8673
583	12147	8653
584	12169	8633
585	12190	8612
586	12212	8592
587	12232	8571
588	12252	8549
589	12272	8528
590	12292	8506
591	12311	8485
592	12330	8463
593	12350	8441
594	12370	8420
595	12390	8398
596	12410	8377
597	12429	8355
598	12448	8333
599	12468	8312
600	12487	8290
601	12510	8270
602	12529	8248
603	12548	8227
604	12568	8205
605	12587	8184
606	12608	8163
607	12628	8142
608	12649	8121
609	12669	8099
610	12689	8078
611	12709	8057
612	12730	8037
613	12750	8015
614	12771	7995
615	12791	7973
616	12811	7952
617	12831	7931
618	12850	7909
619	12870	7888
620	12889	7866
621	12911	7846
622	12930	7824
623	12951	7804
624	12973	7783
625	12995	7763
626	13016	7743
627	13038	7723
628	13058	7702
629	13079	7681
630	13099	7660
631	13119	7639
632	13140	7618
633	13160	7597
634	13183	7577
635	13203	7556
636	13222	7535
637	13242	7513
638	13262	7492
639	13283	7471
640	13302	7450
641	13322	7429
642	13342	7407
643	13362	7386
644	13384	7366
645	13403	7344
646	13423	7323
647	13445	7303
648	13465	7282
649	13486	7262
650	13510	7243
651	13535	7224
652	13556	7203
653	13576	7182
654	13596	7161
655	13617	7140
656	13638	7120
657	13659	7099
658	13679	7078
659	13699	7057
660	13719	7036
661	13738	7014
662	13756	6992
663	13774	6970
664	13792	6948
665	13810	6926
666	13829	6904
667	13847	6882
668	13865	6860
669	13882	6837
670	13902	6816
671	13921	6794
672	13942	6774
673	13963	6753
674	13985	6733
675	14003	6711
676	14021	6689
677	14041	6668
678	14058	6646
679	14078	6625
680	14096	6603
681	14114	6581
682	14132	6559
683	14150	6537
684	14168	6515
685	14185	6493
686	14210	6474
687	14229	6453
688	14250	6432
689	14268	6410
690	14286	6388
691	14304	6366
692	14323	6345
693	14341	6323
694	14359	6301
695	14377	6279
696	14394	6257
697	14411	6235
698	14429	6213
699	14447	6191
700	14465	6170
701	14483	6148
702	14501	6126
703	14520	6105
704	14537	6082
705	14555	6061
706	14572	6039
707	14591	6017
708	14609	5996
709	14626	5974
710	14644	5952
711	14661	5930
712	14679	5908
713	14697	5887
714	14715	5865
715	14734	5844
716	14754	5823
717	14773	5802
718	14793	5781
719	14811	5760
720	14828	5738
721	14847	5716
722	14865	5695
723	14886	5675
724	14906	5654
725	14925	5633
726	14948	5613
727	14970	5593
728	14990	5572
729	15009	5551
730	15027	5530
731	15045	5508
732	15063	5487
733	15083	5466
734	15101	5444
735	15118	5422
736	15135	5401
737	15155	5380
738	15176	5360
739	15195	5338
740	15213	5317
741	15230	5295
742	15250	5275
743	15267	5253
744	15284	5231
745	15302	5210
746	15321	5189
747	15340	5168
748	15358	5146
749	15376	5125
750	15394	5104
751	15412	5082
752	15430	5061
753	15449	5040
754	15468	5019
755	15487	4998
756	15505	4977
757	15528	4957
758	15550	4937
759	15569	4916
760	15587	4895
761	15612	4876
762	15629	4854
763	15647	4833
764	15664	4812
765	15681	4790
766	15699	4769
767	15719	4748
768	15738	4727
769	15760	4707
770	15782	4687
771	15802	4666
772	15821	4646
773	15842	4625
774	15860	4604
775	15877	4583
776	15895	4562
777	15917	4541
778	15939	4522
779	15961	4501
780	15981	4481
781	15999	4460
782	16015	4438
783	16033	4417
784	16059	4398
785	16079	4377
786	16097	4356
787	16115	4335
788	16134	4314
789	16154	4294
790	16172	4273
791	16193	4252
792	16215	4232
793	16247	4215
794	16266	4194
795	16285	4173
796	16303	4152
797	16322	4131
798	16340	4110
799	16357	4089
800	16374	4068
801	16393	4047
802	16413	4026
803	16432	4005
804	16452	3985
805	16472	3964
806	16489	3943
807	16507	3922
808	16524	3901
809	16542	3880
810	16560	3859
811	16579	3838
812	16599	3818
813	16618	3797
814	16637	3776
815	16654	3755
816	16673	3734
817	16691	3713
818	16710	3692
819	16727	3671
820	16745	3650
821	16762	3629
822	16782	3609
